BAGIAN B: DATA SARANA PRASARANA (Sapras),,,,,,,,
Konsentrasi Keahlian,,: Agribisnis Perikanan Air Tawar,,,,,,
,,,,,,,,
1. RUANG PRAKTIK UTAMA,,,,,,,,
No,Jenis Ruang,Standar Luas Minimal,Kapasitas,Luas Tersedia (m²),Ada,Tidak,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan
25,Meja Kerja,L1400 x W700 x H730 mm,19 unit,,,,,
5. PERALATAN BANGSAL KOLAM INDUK JANTAN DAN BETINA,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,Bak Fiberglass,Untuk wadah pemeliharaan induk,2 unit,,,,,
"6. PERALATAN KOLAM PENDEDERAN, PEMBESARAN, AKUARIUM, FIBER DAN KOLAM PRODUKSI",,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi,Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,Mesin Penepung Disk Mill,"Penggerak motor diesel 5,5 HP, kecepatan 9000 rpm",1 unit,,,,,
2,Oven,Range suhu room temp - 300°C,1 unit,,,,,
3,Mesin Cetak Pelet Apung,Kapasitas 30-40 kg,1 unit,,,,,
4,Water Pump,Mesin pemompa air,1 unit,,,,,
5,Bak Fiberglass Persegi,"Wadah pembesaran ikan, tinggi min 50 cm",1 unit,,,,,
6,Aquarium,"Wadah penetasan telur, P 100 cm, L 50 cm, T 40 cm",3 unit,,,,,
7,Pond Blower Filter + Pompa Air,Untuk resirkulasi air,1 unit,,,,,
8,Tabung Oksigen,"Untuk packaging, volume 1 m³",1 unit,,,,,
9,Tabung CO₂,"Untuk aquascape, dengan regulator",1 unit,,,,,
10,Chiller,"Untuk menurunkan suhu air, min 1/10 HP",1 unit,,,,,
11,Aquarium Dekorasi,"Kaca, panjang 1,5 m, tinggi 1,5 m, tebal 12 mm",2 unit,,,,,
,,,,,,,,
7. PERABOT DAN PERALATAN RUANG INSTRUKTUR DAN PENYIMPANAN,,,,,,,,
No,Nama Peralatan,Spesifikasi Minimal,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,
1,Kursi Kerja,"Ergonomis, ukuran memadai",9 unit,,,,,
2,Meja Kerja,Ukuran memadai untuk bekerja,9 unit,,,,,
3,Komputer/PC All In One,"Processor 3.0 GHz, RAM 8 GB, HDD 1 TB",9 unit,,,,,
4,Printer,"Printer, scan, copy",3 unit,,,,,
5,Filing Cabinet 4 Drawers,Rak kabinet 4 laci,3 unit,,,,,
6,Shelving 5 Shelf,"Rak buku 5 susun, 1450 x W620 mm",1 unit,,,,,
7,Pesawat Telepon,Untuk komunikasi jarak jauh,1 unit,,,,,
8. KELENGKAPAN SMART CLASSROOM,,,,,,,,
No,Nama Peralatan,Jumlah Standar,Jumlah Tersedia,Kondisi (Baik/Rusak),Kesesuaian dengan Standar Industri Terkini (Ya/Tidak/ Sebagian),Keterangan,,
1,Smart Board / Whiteboard Interaktif,1 unit,,,,,,
2,Smart TV Videoconference,1 unit,,,,,,
3,HD Pro Cam / Live Casting,1 unit,,,,,,
4,Smart Table Interaktif,1 unit,,,,,,
5,Smart Controlroom Console,1 unit,,,,,,
6,Smart Document Camera,1 unit,,,,,,
